Species,Species,Trait,E,Est_Tpk,Est_Response,Rank,Points_Before_Peak,Est_Tpk_std,Est_Response_std,E_std,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,Best_Guess,TempPref
85,Caloramator fervidus,Specific Growth Rate,3.3711004361125028,NA,NA,1,6,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,Fermentation,Mesophile
86,Caloramator indicus,Specific Growth Rate,4.2257059616120065,335.8158,65.0104056052,1,4,0.4941327352039238,9.928718482783577,1.4668661603552446,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,Fermentation,Thermophile
87,Caloranaerobacter azorensis,Specific Growth Rate,0.8559894279136121,337.6058,40.9724342237,1,5,2.8833046546089798,21.56798491443917,0.20756999123152176,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloranaerobacter,Fermentation,Thermophile
92,Chlorobium tepidum,Specific Growth Rate,0.5250737529996146,319.0125,7.7619558908899995,1,6,0.3882774265909217,0.3486513162971729,0.082907841890798,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,C9,Mesophile
93,Clostridium autoethanogenum,Specific Growth Rate,1.2303322333430289,NA,NA,1,5,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Fermentation,Mesophile
94,Clostridium perfringens,Specific Growth Rate,0.968158548095542,316.8992,64.5680354757,1,19,0.5510321587712809,4.8462485925308405,0.14757706346049065,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Fermentation,Mesophile
95,Clostridium perfringens,Specific Growth Rate,0.6139883138670441,317.4881,53.6439364916,1,19,0.6151334082946334,2.6795895574951216,0.07693186487967006,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Fermentation,Mesophile
96,Clostridium perfringens,Specific Growth Rate,0.5778596792012474,320.2253,52.4813346601,1,18,0.5967821224321059,2.8324856671977403,0.04928979212825009,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Fermentation,Mesophile
97,Colwellia demingiae,Specific Growth Rate,2.209649464476831,NA,NA,1,10,NA,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Aerobic,Mesophile
98,Colwellia hornerae,Specific Growth Rate,0.7318803150308384,284.065,4.05448494646,1,11,0.4902699664470305,0.3008866235963379,0.19035637023277915,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Aerobic,Mesophile
99,Colwellia psychrerythraea,Specific Growth Rate,0.4604598791023928,286.0772,5.70651270814,1,13,0.3089401074641953,0.15468279484084882,0.04926416858201455,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Aerobic,Mesophile
100,Colwellia psychrotropica,Specific Growth Rate,0.4466495549040504,291.0102,9.68275467274,1,14,0.31877866929891685,0.2529011024591436,0.036480928079681535,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Aerobic,Mesophile
101,Cylindrospermopsis raciborskii,Specific Growth Rate,1.884699338601688,302.05,0.8278016357979999,1,3,0.24420311218333626,0.046836814506253266,0.24274845048551635,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
102,Cylindrospermopsis raciborskii,Specific Growth Rate,1.2266424371264948,301.75,0.465669997249,1,3,1.3061157932830778,0.08912312707315419,0.4713234072995632,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
103,Cylindrospermopsis raciborskii,Specific Growth Rate,0.4581621081223137,305.55,0.376057003533,1,4,2.6225776734038515,0.5949835023863957,0.25088638782942585,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
104,Cylindrospermopsis raciborskii,Specific Growth Rate,0.4589701797261663,305.55,0.585008288288,1,4,1.92925526547944,0.5985237757538571,0.10601630322394033,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
105,Cylindrospermopsis raciborskii,Specific Growth Rate,0.4491649340915605,304.75,0.49613957453,1,4,1.5292936779516226,18.087128854245645,0.1998906909005806,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
106,Cylindrospermopsis raciborskii,Specific Growth Rate,0.4211622136941955,304.55,0.472436312297,1,4,1.3882553866744316,0.38106687351321744,0.16439990865451834,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
107,Cylindrospermopsis raciborskii,Specific Growth Rate,0.3635195170442416,306.45,0.652659872511,1,4,4.5992605237322435,0.3290594361990798,0.1898476288767094,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
108,Cylindrospermopsis raciborskii,Specific Growth Rate,0.342701867687103,306.15,0.421448564887,1,4,3.5898063401813003,0.5042719955826773,0.12675391466554226,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
109,Cylindrospermopsis raciborskii,Specific Growth Rate,4.254336925380761,309.25,0.736613278141,1,5,8.008030713457565,0.1137763382078275,1.6706148710241535,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
110,Cylindrospermopsis raciborskii,Specific Growth Rate,0.4779446632227578,301.45,0.497180625038,1,5,1.2043803243725535,0.04816333846452328,0.11468907034800185,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
111,Cylindrospermopsis raciborskii,Specific Growth Rate,3.4813042271800976,302.05,0.784660686674,1,4,1.276715624060809,0.6265366132583129,1.881998572338888,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
112,Cylindrospermopsis raciborskii,Specific Growth Rate,2.026282645228889,301.25,0.608575147209,1,4,0.8537177093120347,0.14084245258087974,0.9859083205819852,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,PhotosystemII,Mesophile
113,Deferribacter thermophilus,Specific Growth Rate,1.0339108928209275,331.5529,17.101855873599998,1,4,1.3523418744700613,3.3930060395276302,0.4901156968819469,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter,N14,Thermophile
114,Deinococcus geothermalis,Specific Growth Rate,0.8215088503647832,320.9499,20.2847035811,1,5,0.8741376550637476,1.6667746436469435,0.16390478432036673,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Aerobic,Mesophile
115,Deinococcus murrayi,Specific Growth Rate,0.483796307838189,323.5499,18.199645982699998,1,6,1.4948716522429064,29.64235929286069,0.13479271897360373,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Aerobic,Thermophile
117,Desulfitobacterium dehalogenans,Specific Growth Rate,0.8063662939456362,311.58982000000003,3.8549909044999997,1,16,0.4211978632425391,0.18424522055841264,0.09265922724554294,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,Fermentation,Mesophile
118,Desulfobacter curvatus,Specific Growth Rate,0.8024795133685412,304.32228,0.9466757369850001,1,19,0.252368282476283,0.0258612121987358,0.061247336801590876,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,Fermentation,Mesophile
120,Desulfofaba gelida,Specific Growth Rate,1.0434247555855702,280.47938,0.141914730003,1,8,0.11493608007653773,0.023230252534468282,0.21750056225945302,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofaba,C1,Mesophile
121,Desulfofrigus fragile,Specific Growth Rate,0.3775188628918735,294.24456000000004,0.886577351998,1,17,0.7191378332782759,0.17138860341657725,0.03716996593722135,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofrigus,C1,Mesophile
123,Desulfofrigus oceanense,Specific Growth Rate,1.1892071645328943,282.23845,0.103300421727,1,10,0.4759797894870149,0.0091597140238579,0.254920143709214,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofrigus,C1,Mesophile
125,Desulforhopalus vacuolatus,Specific Growth Rate,0.6164741152404447,294.596967,0.7535206356020001,1,20,0.3248559349751405,0.07029620207969611,0.060618886477249515,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulforhopalus,Fermentation,Mesophile
127,Desulfotalea arctica,Specific Growth Rate,0.3834704097954755,294.07252,0.514335249007,1,18,9.798116397765748,0.2095217831574918,0.06872312467657526,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,C1,Mesophile
